feature_model,feature_ui,feature_description
days_since_2011,days since 2011,"The number of days since January 1st, 2011"
season,,Season of the year.
mnth,month,Month of the year.
hr,hour,Hour of the day.
holiday,is holiday,Whether or not the day is a holiday.
weekday,is weekday,Whether or not it is a weekday.
workingday,is working day,Whether or not it is a working day.
weathersit,weather,The weather situation.
temp,temperature,The normalized temperature.
atemp,air temperature,The normalized air temperature.
hum,humidity,The humidity.
windspeed,,The windspeed.
